,ランク,タイトル,週間,合計
0,1,バイオハザード　ヴィレッジ(PS4),35045,146216
1,2,モンスターハンターライズ,34178,2175616
2,3,New ポケモンスナップ,17593,211978
3,4,リングフィット アドベンチャー,13970,2568154
4,5,桃太郎電鉄 ～昭和 平成 令和も定番！～,12918,2180327
5,6,ファミコン探偵倶楽部 消えた後継者・うしろに立つ少女 COLLECTOR’S EDITION,12269,12269
6,7,スーパーマリオ 3Dワールド ＋ フューリーワールド,11133,739142
7,8,マリオカート8 デラックス,9914,3834911
8,9,Minecraft,9753,1949883
9,10,大乱闘スマッシュブラザーズ SPECIAL,6997,4278593
10,11,あつまれ どうぶつの森,6548,6771885
11,12,バイオハザード　ヴィレッジ(PS5),6083,44796
12,13,世界のアソビ大全51,5194,705680
13,14,スーパー マリオパーティ,4734,1888357
14,15,スプラトゥーン2,4539,3863872
15,16,NieR Replicant ver.1.22474487139...,4454,151116
16,17,ポケットモンスター ソード・シールド,3983,4049019
17,18,JUDGE EYES：死神の遺言（新価格版）,3475,12615
18,19,JUDGE EYES：死神の遺言 Remastered,2454,13091
19,20,サブノーティカ＋サブノーティカ： ビロウ ゼロ,2270,2270
20,21,パスファインダー：キングメーカー,2141,2141
21,22,フィットボクシング2 -リズム＆エクササイズ-,2114,98287
22,23,サブノーティカ： ビロウ ゼロ,2103,2103
23,24,ゼルダの伝説 ブレス オブ ザ ワイルド,1869,1816194
24,25,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,1757,97038
25,26,ヒューマン フォール フラット,1565,148329
26,27,太鼓の達人 Nintendo Switchば～じょん！,1561,594249
27,28,New スーパーマリオブラザーズ U デラックス,1469,1061364
28,29,スーパーマリオメーカー2,1448,1095069
29,30,リトルナイトメア2(NSw),1432,72796
30, ,,,
