,ランク,タイトル,週間,合計
0,1,ゼルダの伝説 スカイウォードソード HD,42642,201731
1,2,クレヨンしんちゃん「オラと博士の夏休み」～おわらない七日間の旅～,22815,130134
2,3,Minecraft,17031,2073587
3,4,リングフィット アドベンチャー,16169,2710271
4,5,モンスターハンターストーリーズ2　～破滅の翼～,16017,185804
5,6,eBASEBALL プロ野球スピリッツ2021 グランドスラム,14732,142040
6,7,マリオカート8 デラックス,12972,3932225
7,8,ナビつき！ つくってわかる はじめてゲームプログラミング,12949,181336
8,9,桃太郎電鉄 ～昭和 平成 令和も定番！～,10984,2280841
9,10,マリオゴルフ スーパーラッシュ,10397,150184
10,11,うたわれるもの斬2(PS4),10241,10241
11,12,Miitopia,9725,203904
12,13,大乱闘スマッシュブラザーズ SPECIAL,9472,4350070
13,14,スーパーマリオ 3Dワールド ＋ フューリーワールド,8877,820564
14,15,あつまれ どうぶつの森,6978,6832135
15,16,スーパー マリオパーティ,6177,1940234
16,17,スプラトゥーン2,5663,3906645
17,18,世界のアソビ大全51,5496,753101
18,19,ポケットモンスター ソード・シールド,5378,4089524
19,20,モンスターハンターライズ,4793,2294606
20,21,ゼルダの伝説 ブレス オブ ザ ワイルド,4455,1843878
21,22,うたわれるもの斬2(PS5),4081,4081
22,23,戦国無双5(NSw),2888,61350
23,24,フィットボクシング2 -リズム＆エクササイズ-,2845,124121
24,25,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,2810,117951
25,26,スーパーマリオ オデッセイ,2702,2250994
26,27,スーパーマリオメーカー2,2593,1111602
27,28,もしかして？ おばけの射的屋 for Nintendo Switch,2359,11459
28,29,地球防衛軍2 for Nintendo Switch,2322,11701
29,30,ヒューマン フォール フラット,2268,164248
