,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,70552,5004720
1,2,リングフィット アドベンチャー,34782,1073514
2,3,世界のアソビ大全51,27323,171620
3,4,The Last of Us Part II（ラスト・オブ・アス パートII）,25993,204689
4,5,レムナント：フロム・ジ・アッシュ,19244,19244
5,6,ブリガンダイン ルーナジア戦記,15242,15242
6,7,マリオカート8 デラックス,9338,3005043
7,8,ポケットモンスター ソード・シールド,8730,3638993
8,9,スプラトゥーン2,7407,3470635
9,10,ミスタードリラーアンコール,6661,6661
10,11,Minecraft,6634,1426601
11,12,大乱闘スマッシュブラザーズ SPECIAL,6316,3737769
12,13,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,5257,100600
13,14,ヒューマン フォール フラット,5241,5241
14,15,スーパー マリオパーティ,4402,1476225
15,16,ゼノブレイド ディフィニティブ・エディション,3423,123920
16,17,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3170,253735
17,18,ゼルダの伝説 ブレス オブ ザ ワイルド,2901,1603440
18,19,スーパーマリオメーカー2,2620,930873
19,20,New スーパーマリオブラザーズ U デラックス,2491,857173
20,21,ナムコットコレクション,2318,11850
21,22,ルイージマンション3,2255,658237
22,23,グランド・セフト・オートV：プレミアム・オンラインエディション（再廉価版）,1948,66680
23,24,釣りスピリッツ Nintendo Switchバージョン,1933,448469
24,25,少女地獄のドクムス〆,1928,1928
25,26,ファイナルファンタジーVII リメイク,1926,931165
26,27,ドラゴンクエストXI　過ぎ去りし時を求めて S,1628,530279
27,28,スーパーマリオ オデッセイ,1491,2106192
28,29,太鼓の達人 Nintendo Switchば～じょん！,1487,486049
29,30,FIFA 20 Legacy Edition（EA BEST HITS）,1462,1462
