,タイトル,週間,合計
0,仁王2 ,91892 ,91892
1,ポケモン不思議のダンジョン 救助隊DX ,46391 ,184939
2,ポケットモンスター ソード・シールド ,18567 ,3509920
3,僕のヒーローアカデミア One’s Justice2 ,16997 ,16997
4,Minecraft ,11787 ,1309815
5,マリオカート8 デラックス ,11272 ,2817258
6,大乱闘スマッシュブラザーズ SPECIAL ,9898 ,3602272
7,リングフィット アドベンチャー ,8773 ,723803
8,ウイニングポスト9 2020 ,8045 ,8045
9,スプラトゥーン2 ,6827 ,3341950
