,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,1364544 ,1364544
1,DEATH STRANDING（デス・ストランディング） ,37382 ,223291
2,ルイージマンション3 ,29718 ,235047
3,リングフィットアドベンチャー ,28015 ,263940
4,Star Wars ジェダイ：フォールン・オーダー ,26761 ,26761
5,コール オブ デューティ モダン・ウォーフェア ,9411 ,181165
6,マリオ＆ソニック AT 東京2020オリンピックTM ,9042 ,42756
7,ニード・フォー・スピード Heat ,7638 ,23944
8,Minecraft ,7637 ,1003160
9,ペルソナ5 ザ・ロイヤル ,7195 ,228756
