,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,382540 ,1747084
1,リングフィットアドベンチャー ,26141 ,290081
2,ルイージマンション3 ,23872 ,258919
3,シェンムーIII ,17857 ,17857
4,DEATH STRANDING（デス・ストランディング） ,12520 ,235811
5,Star Wars ジェダイ：フォールン・オーダー ,10321 ,37082
6,マリオ＆ソニック AT 東京2020オリンピックTM ,8826 ,51582
7,スーパー マリオパーティ ,8576 ,1154354
8,Minecraft ,8512 ,1011672
9,マリオカート8 デラックス ,7360 ,2533458
