,ランク,タイトル,週間,合計
0,1,桃太郎電鉄 ～昭和 平成 令和も定番！～,92793,1710394
1,2,リングフィット アドベンチャー,36489,2273887
2,3,あつまれ どうぶつの森,27237,6580855
3,4,マリオカート8 デラックス,19239,3620938
4,5,大乱闘スマッシュブラザーズ SPECIAL,13316,4122643
5,6,Minecraft,11873,1786687
6,7,世界のアソビ大全51,11410,612794
7,8,スプラトゥーン2,9407,3753205
8,9,ポケットモンスター ソード・シールド,8847,3938093
9,10,スーパー マリオパーティ,7623,1805240
10,11,ピクミン3 デラックス,5943,527451
11,12,ゼルダの伝説 ブレス オブ ザ ワイルド,5440,1760730
12,13,天穂のサクナヒメ(NSw),5328,122386
13,14,New スーパーマリオブラザーズ U デラックス,4715,1023787
14,15,フィットボクシング2 -リズム＆エクササイズ-,4303,60358
15,16,スーパーマリオ 3Dコレクション,4292,547549
16,17,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,3849,54690
17,18,ポケットモンスター ソード・シールド ＋ エキスパンションパス,3640,191726
18,19,ゼルダ無双 厄災の黙示録,3570,334617
19,20,ぷよぷよテトリス2(NSw),3213,84758
20,21,ヒューマン フォール フラット,2951,108181
21,22,スーパーマリオ オデッセイ,2733,2203415
22,23,スーパーマリオメーカー2,2730,1060462
23,24,ファミリートレーナー,2376,38366
24,25,天穂のサクナヒメ(PS4),2162,73323
25,26,コール オブ デューティ ブラックオプス コールドウォー,2114,167418
26,27,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,2076,359889
27,28,モンスターハンターダブルクロス Nintendo Switch Ver. Best Price,1922,125238
28,29,釣りスピリッツ Nintendo Switchバージョン,1878,563929
29,30,ルイージマンション3,1865,742375
