,ランク,タイトル,週間,合計
0,1,FIFA 21,39152,39152
1,2,あつまれ どうぶつの森,37544,5828121
2,3,リングフィット アドベンチャー,33502,1668843
3,4,スーパーマリオ 3Dコレクション,22027,330248
4,5,マリオカート8 デラックス,12723,3209218
5,6,FIFA 21 Legacy Edition,11990,11990
6,7,ポケットモンスター ソード・シールド,7145,3759916
7,8,Minecraft,6859,1525027
8,9,大乱闘スマッシュブラザーズ SPECIAL,6564,3849600
9,10,世界のアソビ大全51,5927,403265
10,11,スーパー マリオパーティ,5911,1572008
11,12,スプラトゥーン2,4905,3580079
12,13,ゼルダの伝説 ブレス オブ ザ ワイルド,4166,1662966
13,14,eFootball ウイニングイレブン 2021 SEASON UPDATE,4153,45641
14,15,Minecraft Dungeons Hero Edition,3774,31108
15,16,New スーパーマリオブラザーズ U デラックス,3676,910411
16,17,クラッシュ・バンディクー4 とんでもマルチバース,3480,13917
17,18,スーパーマリオメーカー2,2819,974241
18,19,eBASEBALLパワフルプロ野球2020(NSw),2745,234056
19,20,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,2698,307515
20,21,ペーパーマリオ オリガミキング,2625,262370
21,22,Marvel’s Avengers（アベンジャーズ）,2574,61487
22,23,ヒューマン フォール フラット,2433,40106
23,24,スーパーマリオ オデッセイ,2178,2132793
24,25,Ghost of Tsushima（ゴースト・オブ・ツシマ）,2161,403642
25,26,釣りスピリッツ Nintendo Switchバージョン,2159,497170
26,27,プロ野球 ファミスタ 2020,2075,24835
27,28,Star Wars：スコードロン,1972,7086
28,29,太鼓の達人 Nintendo Switchば～じょん！,1779,519411
29,30,ルイージマンション3,1472,690396
