,ランク,タイトル,週間,合計
0,1,牧場物語 オリーブタウンと希望の大地,202396,202396
1,2,ブレイブリーデフォルトII,93061,93061
2,3,スーパーマリオ 3Dワールド ＋ フューリーワールド,74811,422784
3,4,桃太郎電鉄 ～昭和 平成 令和も定番！～,40610,1974795
4,5,リングフィット アドベンチャー,19032,2413077
5,6,マリオカート8 デラックス,13575,3699547
6,7,あつまれ どうぶつの森,13332,6668414
7,8,うたの☆プリンスさまっ♪ Debut,10588,10588
8,9,大乱闘スマッシュブラザーズ SPECIAL,9957,4175273
9,10,Minecraft,9386,1834873
10,11,スプラトゥーン2,9115,3796602
11,12,ポケットモンスター ソード・シールド,9069,3980667
12,13,リトルナイトメア2(NSw),5994,37985
13,14,世界のアソビ大全51,5828,649665
14,15,ダライアス コズミックリベレーション,5341,5341
15,16,スーパー マリオパーティ,4479,1833609
16,17,ゼルダの伝説 ブレス オブ ザ ワイルド,4325,1784661
17,18,リトルナイトメア2(PS4),4289,19826
18,19,ダライアス コズミックリベレーション,3540,3540
19,20,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,3363,73199
20,21,スーパーマリオ 3Dコレクション,3142,565032
21,22,コットン リブート！,2894,2894
22,23,ピクミン3 デラックス,2679,545126
23,24,NieR：Automata Game of the YoRHa Edition（ニーア オートマタ ゲーム オブ ザ ヨルハ エディション）,2644,108865
24,25,フィットボクシング2 -リズム＆エクササイズ-,2548,76038
25,26,ヒューマン フォール フラット,2436,122746
26,27,ゼルダ無双 厄災の黙示録,2404,349480
27,28,天穂のサクナヒメ(NSw),2364,142200
28,29,New スーパーマリオブラザーズ U デラックス,2250,1039133
29,30,エンパイア・オブ・シン,2098,2098
