,ランク,タイトル,週間,合計
0,1,桃太郎電鉄 ～昭和 平成 令和も定番！～,107064,1617601
1,2,あつまれ どうぶつの森,36009,6553618
2,3,リングフィット アドベンチャー,35397,2237398
3,4,マリオカート8 デラックス,26636,3601699
4,5,大乱闘スマッシュブラザーズ SPECIAL,17099,4109327
5,6,世界のアソビ大全51,15295,601384
6,7,Minecraft,14430,1774814
7,8,スプラトゥーン2,11640,3743798
8,9,スーパー マリオパーティ,10069,1797617
9,10,ポケットモンスター ソード・シールド,9882,3929246
10,11,ピクミン3 デラックス,8283,521508
11,12,天穂のサクナヒメ(NSw),7177,117058
12,13,スーパーマリオ 3Dコレクション,6623,543257
13,14,ゼルダの伝説 ブレス オブ ザ ワイルド,6339,1755290
14,15,ポケットモンスター ソード・シールド ＋ エキスパンションパス,6302,188086
15,16,フィットボクシング2 -リズム＆エクササイズ-,6175,56055
16,17,New スーパーマリオブラザーズ U デラックス,5870,1019072
17,18,ゼルダ無双 厄災の黙示録,4593,331047
18,19,ぷよぷよテトリス2(NSw),4453,81545
19,20,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,4270,50841
20,21,ファミリートレーナー,3937,35990
21,22,ヒューマン フォール フラット,3530,105230
22,23,スーパーマリオメーカー2,3394,1057732
23,24,スーパーマリオ オデッセイ,3253,2200682
24,25,コール オブ デューティ ブラックオプス コールドウォー,3029,165304
25,26,天穂のサクナヒメ(PS4),2809,71161
26,27,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,2773,357813
27,28,釣りスピリッツ Nintendo Switchバージョン,2645,562051
28,29,モンスターハンターダブルクロス Nintendo Switch Ver. Best Price,2593,123316
29,30,ルイージマンション3,2545,740510
