,ランク,タイトル,週間,合計
0,1,NieR Replicant ver.1.22474487139...,108838,108838
1,2,モンスターハンターライズ,86258,1970371
2,3,スーパーマリオ 3Dワールド ＋ フューリーワールド,16020,674662
3,4,桃太郎電鉄 ～昭和 平成 令和も定番！～,12415,2125061
4,5,リングフィット アドベンチャー,12287,2522709
5,6,マリオカート8 デラックス,10331,3793952
6,7,Minecraft,9224,1910581
7,8,あつまれ どうぶつの森,8269,6743432
8,9,大乱闘スマッシュブラザーズ SPECIAL,6770,4249496
9,10,アトリエ ～不思議の錬金術士 トリロジー～ DX プレミアムボックス(NSw),6022,6022
10,11,JUDGE EYES：死神の遺言 Remastered,5539,5539
11,12,スプラトゥーン2,4746,3845721
12,13,ポケットモンスター ソード・シールド,4541,4032533
13,14,世界のアソビ大全51,4496,685377
14,15,雷電IV×MIKADO remix,4479,4479
15,16,スーパー マリオパーティ,3875,1865584
16,17,-右脳の達人- まちがいさがしミュージアム for Nintendo Switch,3565,3565
17,18,JUDGE EYES：死神の遺言（新価格版）,3192,3192
18,19,アトリエ ～不思議の錬金術士 トリロジー～ DX プレミアムボックス(PS4),3074,3074
19,20,牧場物語 オリーブタウンと希望の大地,2659,274926
20,21,時計仕掛けのアポカリプス,,掛けのアポカリプス 週:2623 計:2623
21,22,ウイニングポスト9 2021(NSw),2529,14368
22,23,ウイニングポスト9 2021(SP4),2523,13221
23,24,ゼルダの伝説 ブレス オブ ザ ワイルド,2024,1808961
24,25,スーパーマリオメーカー2,1975,1087862
25,26,リトルナイトメア2(NSw),1856,66414
26,27,ヒューマン フォール フラット,1815,140692
27,28,フィットボクシング2 -リズム＆エクササイズ-,1785,91534
28,29,ワンダーボーイ アーシャ・イン・モンスターワールド,1759,1759
29,30,New スーパーマリオブラザーズ U デラックス,1705,1054532
