,ランク,タイトル,週間,合計
0,1,英雄伝説 創の軌跡,83680,83680
1,2,リングフィット アドベンチャー,53594,1420027
2,3,ファイナルファンタジー・クリスタルクロニクル リマスター(NSw),48957,48957
3,4,あつまれ どうぶつの森,34401,5628462
4,5,ファイナルファンタジー・クリスタルクロニクル リマスター(PS4),30169,30169
5,6,キャプテン翼 RISE OF NEW CHAMPIONS(NSw),16678,16678
6,7,JUMP FORCE デラックスエディション,15588,15588
7,8,キャプテン翼 RISE OF NEW CHAMPIONS(PS4),13828,13828
8,9,Ghost of Tsushima（ゴースト・オブ・ツシマ）,13226,375580
9,10,世界のアソビ大全51,12520,349010
10,11,マリオカート8 デラックス,12136,3131858
11,12,eBASEBALLパワフルプロ野球2020(NSw),7310,207757
12,13,ポケットモンスター ソード・シールド,6936,3717997
13,14,スプラトゥーン2,6830,3544763
14,15,ペーパーマリオ オリガミキング,6432,238391
15,16,大乱闘スマッシュブラザーズ SPECIAL,6105,3809943
16,17,Minecraft,5715,1488159
17,18,スーパー マリオパーティ,5193,1538146
18,19,eBASEBALLパワフルプロ野球2020(PS4),3765,174299
19,20,ゼルダの伝説 ブレス オブ ザ ワイルド,3567,1637054
20,21,この素晴らしい世界に祝福を！ ～希望の迷宮と集いし冒険者たち～ Plus,3189,3189
21,22,機動戦士ガンダム EXTREME VS. マキシブーストON,3091,158714
22,23,ステラリス,3090,3090
23,24,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3054,285541
24,25,釣りスピリッツ Nintendo Switchバージョン,2845,483458
25,26,New スーパーマリオブラザーズ U デラックス,2777,889391
26,27,TERMINATOR： RESISTANCE,2486,2486
27,28,スーパーマリオメーカー2,2375,958504
28,29,太鼓の達人 Nintendo Switchば～じょん！,2206,508041
29,30,ヒューマン フォール フラット,1932,26269
