,ランク,タイトル,週間,合計
0,1,スーパーマリオ 3Dワールド ＋ フューリーワールド,53603,476387
1,2,牧場物語 オリーブタウンと希望の大地,33677,236073
2,3,桃太郎電鉄 ～昭和 平成 令和も定番！～,31760,2006555
3,4,リングフィット アドベンチャー,20197,2433274
4,5,ブレイブリーデフォルトII,19841,112902
5,6,マリオカート8 デラックス,14684,3714231
6,7,大乱闘スマッシュブラザーズ SPECIAL,12052,4187325
7,8,あつまれ どうぶつの森,11731,6680145
8,9,ポケットモンスター ソード・シールド,10094,3990761
9,10,Minecraft,8760,1843633
10,11,スプラトゥーン2,8268,3804870
11,12,世界のアソビ大全51,5075,654740
12,13,ゼルダの伝説 ブレス オブ ザ ワイルド,4839,1789500
13,14,スーパー マリオパーティ,4533,1838142
14,15,スーパーマリオ 3Dコレクション,3960,568992
15,16,リトルナイトメア2(NSw),3953,41938
16,17,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,3669,76868
17,18,リトルナイトメア2(PS4),3096,22922
18,19,龍が如く7 光と闇の行方 インターナショナル,2861,2861
19,20,ヒューマン フォール フラット,2097,124843
20,21,ゼルダ無双 厄災の黙示録,2081,351561
21,22,ピクミン3 デラックス,2045,547171
22,23,フィットボクシング2 -リズム＆エクササイズ-,2016,78054
23,24,アルノサージュ ～生まれいずる星へ祈る詩～ DX(PS4),2008,2008
24,25,アルノサージュ ～生まれいずる星へ祈る詩～ DX(NSw),1986,1986
25,26,New スーパーマリオブラザーズ U デラックス,1973,1041106
26,27,スーパーマリオメーカー2,1944,1073393
27,28,天穂のサクナヒメ(NSw),1882,144082
28,29,NieR：Automata Game of the YoRHa Edition（ニーア オートマタ ゲーム オブ ザ ヨルハ エディション）,1815,110680
29,30,シェルノサージュ ～失われた星へ捧ぐ詩～ DX(NSw),1805,1805
