,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,94115,5280398
1,2,Ghost of Tsushima（ゴースト・オブ・ツシマ）,53387,266302
2,3,ペーパーマリオ オリガミキング,50643,159735
3,4,リングフィット アドベンチャー,32136,1205379
4,5,世界のアソビ大全51,25136,261027
5,6,eBASEBALLパワフルプロ野球2020(NSw),21094,145689
6,7,eBASEBALLパワフルプロ野球2020(PS4),16253,134751
7,8,マリオカート8 デラックス,15175,3051164
8,9,ニンジャラ ゲームカードパッケージ,11693,11693
9,10,ポケットモンスター ソード・シールド,9845,3672649
10,11,スプラトゥーン2,9744,3503047
11,12,大乱闘スマッシュブラザーズ SPECIAL,8540,3766573
12,13,スーパー マリオパーティ,8071,1499720
13,14,Minecraft,8036,1452367
14,15,釣りスピリッツ Nintendo Switchバージョン,7372,461852
15,16,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,4231,266455
16,17,New スーパーマリオブラザーズ U デラックス,4102,869319
17,18,ゼルダの伝説 ブレス オブ ザ ワイルド,4019,1616859
18,19,ソードアート・オンライン アリシゼーション リコリス,3848,85010
19,20,スーパーマリオメーカー2,3365,942223
20,21,【超激レア】ふたりで！にゃんこ大戦争「ソフト＆ポーチセット」,3135,12860
21,22,戦国BASARA4 皇 ANNIVERSARY EDITION,3110,3110
22,23,ルイージマンション3,2908,667676
23,24,マリオ＆ソニック AT 東京2020オリンピックTM,2494,326466
24,25,太鼓の達人 Nintendo Switchば～じょん！,2410,493222
25,26,ドラゴンクエストXI　過ぎ去りし時を求めて S,2354,538239
26,27,The Last of Us Part II（ラスト・オブ・アス パートII）,2325,222943
27,28,ヒューマン フォール フラット,2170,13545
28,29,スーパーマリオ オデッセイ,2004,2112994
29,30,Fit Boxing,1759,122467
30, ,,,
