,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,42863,5594061
1,2,リングフィット アドベンチャー,30689,1366433
2,3,Ghost of Tsushima（ゴースト・オブ・ツシマ）,17037,362354
3,4,世界のアソビ大全51,14290,336490
4,5,マリオカート8 デラックス,13862,3119722
5,6,eBASEBALLパワフルプロ野球2020(NSw),9522,200447
6,7,ペーパーマリオ オリガミキング,9384,231959
7,8,ポケットモンスター ソード・シールド,8016,3711061
8,9,スプラトゥーン2,7459,3537933
9,10,大乱闘スマッシュブラザーズ SPECIAL,7230,3803838
10,11,Minecraft,6404,1482444
11,12,スーパー マリオパーティ,5820,1532953
12,13,eBASEBALLパワフルプロ野球2020(PS4),5366,170534
13,14,機動戦士ガンダム EXTREME VS. マキシブーストON,4233,155623
14,15,キューピット・パラサイト,3538,3538
15,16,ゼルダの伝説 ブレス オブ ザ ワイルド,3498,1633487
16,17,釣りスピリッツ Nintendo Switchバージョン,3438,480613
17,18,New スーパーマリオブラザーズ U デラックス,3250,886614
18,19,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3061,282487
19,20,ゾンビサバイバル コロニービルダー They Are Billions,3046,3046
20,21,スーパーマリオメーカー2,2846,956129
21,22,太鼓の達人 Nintendo Switchば～じょん！,2656,505835
22,23,ヒューマン フォール フラット,2098,24337
23,24,ルイージマンション3,2073,678086
24,25,ニンジャラ ゲームカードパッケージ,1889,23753
25,26,Fit Boxing,1540,129142
26,27,ポケットモンスター Let’s Go！ ピカチュウ・Let’s Go！イーブイ,1449,1742784
27,28,ドラゴンクエストXI　過ぎ去りし時を求めて S,1413,545836
28,29,【超激レア】ふたりで！にゃんこ大戦争「ソフト＆ポーチセット」,1381,19721
29,30,スーパーマリオ オデッセイ,1267,2119498
