,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,102553,4582670
1,2,リングフィット アドベンチャー,11746,917041
2,3,スプラトゥーン2,10144,3427383
3,4,マリオカート8 デラックス,8974,2955429
4,5,Minecraft,6107,1393109
5,6,ファイナルファンタジーVII リメイク,5902,914239
6,7,大乱闘スマッシュブラザーズ SPECIAL,5892,3703810
7,8,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,5678,234735
8,9,スーパー マリオパーティ,4830,1451093
9,10,ポケットモンスター ソード・シールド,4497,3602252
10,11,ファンタシースターオンライン2 エピソード6 デラックスパッケージ,4258,4258
11,12,聖剣伝説3 トライアルズ オブ マナ(PS4),4085,126838
12,13,聖剣伝説3 トライアルズ オブ マナ(NSw),3745,93813
13,14,グランド・セフト・オートV：プレミアム・オンラインエディション（再廉価版）,3041,54226
14,15,ゼルダの伝説 ブレス オブ ザ ワイルド,2972,1587390
15,16,スーパーマリオメーカー2,2810,915893
16,17,ドラゴンクエストX　オールインワンパッケージ version 1-5,2774,8431
17,18,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,2634,75856
18,19,New スーパーマリオブラザーズ U デラックス,2471,844059
19,20,ドラゴンクエストX　オールインワンパッケージ version 1-5,2127,5994
20,21,モンスターハンターワールド：アイスボーン マスターエディション,1998,471927
21,22,ルイージマンション3,1984,645185
22,23,ファンタシースターオンライン2 クラウド エピソード6 デラックスパッケージ,1898,1898
23,24,ポケモン不思議のダンジョン 救助隊DX,1839,253399
24,25,とびだせ どうぶつの森 amiibo＋,1832,506768
25,26,Fit Boxing,1752,108688
26,27,ドラゴンクエストXI　過ぎ去りし時を求めて S,1714,520693
27,28,釣りスピリッツ Nintendo Switchバージョン,1651,439131
28,29,ONE PIECE 海賊無双4,1526,117954
29,30,バイオハザード RE：3,1481,258676
