,タイトル,週間,合計
0,DEATH STRANDING（デス・ストランディング） ,185909 ,185909
1,ルイージマンション3 ,54680 ,205329
2,リングフィットアドベンチャー ,52240 ,235925
3,ペルソナ5 ザ・ロイヤル ,20113 ,221561
4,ニード・フォー・スピード Heat ,16306 ,16306
5,コール オブ デューティ モダン・ウォーフェア ,16179 ,171754
6,マリオ＆ソニック AT 東京2020オリンピックTM ,14276 ,33714
7,Minecraft ,8321 ,995523
8,マリオカート8 デラックス ,7866 ,2519528
9,大乱闘スマッシュブラザーズ SPECIAL ,7693 ,3324998
