,ランク,タイトル,週間,合計
0,1,新すばらしきこのせかい(NSw),18799,18799
1,2,ゼルダの伝説 スカイウォードソード HD,18620,220351
2,3,大逆転裁判1＆2 -成歩堂龍ノ介の冒險と覺悟-(NSw),14460,14460
3,4,Minecraft,13914,2087501
4,5,クレヨンしんちゃん「オラと博士の夏休み」～おわらない七日間の旅～,12342,142476
5,6,マリオカート8 デラックス,12225,3944450
6,7,リングフィット アドベンチャー,11678,2721949
7,8,ナビつき！ つくってわかる はじめてゲームプログラミング,9839,191175
8,9,モンスターハンターストーリーズ2　～破滅の翼～,9524,195328
9,10,新すばらしきこのせかい(PS4),9248,9248
10,11,桃太郎電鉄 ～昭和 平成 令和も定番！～,9208,2290049
11,12,大乱闘スマッシュブラザーズ SPECIAL,8525,4358595
12,13,eBASEBALL プロ野球スピリッツ2021 グランドスラム,8502,150542
13,14,スーパーマリオ 3Dワールド ＋ フューリーワールド,7753,828317
14,15,Miitopia,7517,211421
15,16,あつまれ どうぶつの森,5881,6838016
16,17,マリオゴルフ スーパーラッシュ,5544,155728
17,18,スーパー マリオパーティ,5118,1945352
18,19,ポケットモンスター ソード・シールド,4827,4094351
19,20,世界のアソビ大全51,4818,757919
20,21,スプラトゥーン2,4796,3911441
21,22,君は雪間に希う,4725,4725
22,23,Sniper Ghost Warrior Contracts2（スナイパー ゴーストウォリアー コントラクト2）,4551,4551
23,24,マリオ＆ソニック AT 東京2020オリンピックTM,3928,392515
24,25,ゼルダの伝説 ブレス オブ ザ ワイルド,3924,1847802
25,26,モンスターハンターライズ,3838,2298444
26,27,成歩堂レジェンズコレクション,3704,3704
27,28,大逆転裁判1＆2 -成歩堂龍ノ介の冒險と覺悟-(PS4),3470,3470
28,29,ブラスターマスター ゼロ トリロジー メタファイトクロニクル,2768,2768
29,30,ARK: Ultimate Survivor Edition,2697,2697
