,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,243476 ,2988134
1,ルイージマンション3 ,59349 ,505998
2,リングフィット アドベンチャー ,52521 ,495639
3,Minecraft ,40905 ,1145939
4,マリオカート8 デラックス ,40883 ,2659009
5,マリオ＆ソニック AT 東京2020オリンピックTM ,40866 ,195128
6,大乱闘スマッシュブラザーズ SPECIAL ,35385 ,3453052
7,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング ,34696 ,34696
8,スーパー マリオパーティ ,34649 ,1263710
9,釣りスピリッツ Nintendo Switchバージョン ,33623 ,336995
