,ランク,タイトル,週間,合計
0,1,バイオハザード　ヴィレッジ(PS4),111171,111171
1,2,モンスターハンターライズ,68115,2141438
2,3,New ポケモンスナップ,46643,194385
3,4,バイオハザード　ヴィレッジ(PS5),38713,38713
4,5,スーパーマリオ 3Dワールド ＋ フューリーワールド,26251,728009
5,6,桃太郎電鉄 ～昭和 平成 令和も定番！～,18574,2167409
6,7,Minecraft,15942,1940130
7,8,マリオカート8 デラックス,15359,3824997
8,9,リングフィット アドベンチャー,14547,2554184
9,10,NieR Replicant ver.1.22474487139...,12223,146662
10,11,大乱闘スマッシュブラザーズ SPECIAL,11260,4271596
11,12,あつまれ どうぶつの森,9958,6765337
12,13,スーパー マリオパーティ,8477,1883623
13,14,世界のアソビ大全51,7667,700486
14,15,スプラトゥーン2,6983,3859333
15,16,ポケットモンスター ソード・シールド,5956,4045036
16,17,ヒューマン フォール フラット,3257,146764
17,18,牧場物語 オリーブタウンと希望の大地,2971,281140
18,19,スーパーマリオメーカー2,2873,1093621
19,20,スーパーマリオ オデッセイ,2842,2233038
20,21,ゼルダの伝説 ブレス オブ ザ ワイルド,2667,1814325
21,22,New スーパーマリオブラザーズ U デラックス,2648,1059895
22,23,Returnal（リターナル）,2575,9148
23,24,JUDGE EYES：死神の遺言（新価格版）,2565,9140
24,25,太鼓の達人 Nintendo Switchば～じょん！,2562,592688
25,26,Apex Legends チャンピオンエディション,2515,29057
26,27,釣りスピリッツ Nintendo Switchバージョン,2512,585608
27,28,リトルナイトメア2(NSw),2505,71364
28,29,ふたりで！にゃんこ大戦争,2503,39492
29,30,フィットボクシング2 -リズム＆エクササイズ-,2351,96173
30, ,,,
