,ランク,タイトル,週間,合計
0,1,スーパーマリオ 3Dワールド ＋ フューリーワールド,250018,250018
1,2,桃太郎電鉄 ～昭和 平成 令和も定番！～,46638,1892677
2,3,リトルナイトメア2(NSw),24470,24470
3,4,リングフィット アドベンチャー,24261,2370359
4,5,あつまれ どうぶつの森,16379,6641405
5,6,マリオカート8 デラックス,16354,3672494
6,7,リトルナイトメア2(PS4),11163,11163
7,8,Minecraft,10139,1817064
8,9,大乱闘スマッシュブラザーズ SPECIAL,10087,4155990
9,10,ポケットモンスター ソード・シールド,8324,3963878
10,11,スプラトゥーン2,7628,3778966
11,12,世界のアソビ大全51,7106,638015
12,13,スーパー マリオパーティ,5925,1824330
13,14,ゼルダの伝説 ブレス オブ ザ ワイルド,4631,1775866
14,15,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,4092,66392
15,16,Fate/EXTELLA（フェイト/エクステラ） Celebration BOX(NSw),4068,4068
16,17,天穂のサクナヒメ(NSw),3909,137181
17,18,スーパーマリオ 3Dコレクション,3760,559105
18,19,ピクミン3 デラックス,3531,539740
19,20,Fate/EXTELLA（フェイト/エクステラ） Celebration BOX(PS4),3498,3498
20,21,New スーパーマリオブラザーズ U デラックス,3160,1034654
21,22,ゼルダ無双 厄災の黙示録,2987,344506
22,23,フィットボクシング2 -リズム＆エクササイズ-,2887,70848
23,24,ヒューマン フォール フラット,2767,118172
24,25,スーパーマリオメーカー2,2334,1067595
25,26,スーパーマリオ オデッセイ,2255,2210730
26,27,仁王2 Complete Edition,1841,8364
27,28,バディミッション BOND,1825,11027
28,29,ファミリートレーナー,1819,44344
29,30,ぷよぷよテトリス2(NSw),1807,91022
30, ,,,
