,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,129659,4480117
1,2,リングフィット アドベンチャー,21963,905295
2,3,ファイナルファンタジーVII リメイク,11229,908337
3,4,マリオカート8 デラックス,10286,2946455
4,5,スプラトゥーン2,8079,3417239
5,6,大乱闘スマッシュブラザーズ SPECIAL,7216,3697918
6,7,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,6588,229057
7,8,Minecraft,6063,1387002
8,9,ドラゴンクエストX　オールインワンパッケージ version 1-5,5657,5657
9,10,聖剣伝説3 トライアルズ オブ マナ(PS4),5467,122753
10,11,スーパー マリオパーティ,5424,1446263
11,12,聖剣伝説3 トライアルズ オブ マナ(NSw),4951,90068
12,13,ポケットモンスター ソード・シールド,4047,3597755
13,14,ドラゴンクエストX　オールインワンパッケージ version 1-5,3867,3867
14,15,Fit Boxing,3502,106936
15,16,ゼルダの伝説 ブレス オブ ザ ワイルド,3327,1584418
16,17,New スーパーマリオブラザーズ U デラックス,3174,841588
17,18,スーパーマリオメーカー2,3155,913083
18,19,グランド・セフト・オートV：プレミアム・オンラインエディション（再廉価版）,2963,51185
19,20,モンスターハンターワールド：アイスボーン マスターエディション,2596,469929
20,21,ポケモン不思議のダンジョン 救助隊DX,2137,251560
21,22,ONE PIECE 海賊無双4,2040,116428
22,23,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,2034,73222
23,24,とびだせ どうぶつの森 amiibo＋,1930,504936
24,25,ルイージマンション3,1927,643201
25,26,バイオハザード RE：3,1875,257195
26,27,釣りスピリッツ Nintendo Switchバージョン,1829,437480
27,28,ドラゴンクエストXI　過ぎ去りし時を求めて S,1648,518979
28,29,スーパーマリオ オデッセイ,1564,2097004
29,30,マリオ＆ソニック AT 東京2020オリンピックTM,1561,314135
