,ランク,タイトル,週間,合計
0,1,スーパーマリオ 3Dワールド ＋ フューリーワールド,41734,518121
1,2,桃太郎電鉄 ～昭和 平成 令和も定番！～,25287,2031842
2,3,リングフィット アドベンチャー,18802,2452076
3,4,A列車で行こう はじまる観光計画,,週:16179 計:16179
4,5,牧場物語 オリーブタウンと希望の大地,12917,248990
5,6,マリオカート8 デラックス,12231,3726462
6,7,大乱闘スマッシュブラザーズ SPECIAL,10947,4198272
7,8,あつまれ どうぶつの森,10055,6690200
8,9,ブレイブリーデフォルトII,9720,122622
9,10,Minecraft,8690,1852323
10,11,ポケットモンスター ソード・シールド,8379,3999140
11,12,スプラトゥーン2,7349,3812219
12,13,世界のアソビ大全51,4527,659267
13,14,リトルナイトメア2(NSw),4399,46337
14,15,スーパー マリオパーティ,4023,1842165
15,16,ゼルダの伝説 ブレス オブ ザ ワイルド,3998,1793498
16,17,スーパーマリオ 3Dコレクション,3085,572077
17,18,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,2988,79856
18,19,ヒューマン フォール フラット,2731,127574
19,20,クラッシュ・バンディクー4 とんでもマルチバース(NSw),2288,2288
20,21,フィットボクシング2 -リズム＆エクササイズ-,2093,80147
21,22,リトルナイトメア2(PS4),2046,24968
22,23,THE KING OF FIGHTERS XIV ULTIMATE EDITION,1850,1850
23,24,スーパーマリオメーカー2,1817,1075210
24,25,New スーパーマリオブラザーズ U デラックス,1802,1042908
25,26,Demon’s Souls,1704,40489
26,27,スーパーマリオ オデッセイ,1689,2217805
27,28,Marvel’s Spider-Man： Miles Morales（スパイダーマン：マイルズ・モラレス）(PS5),1644,43692
28,29,ルイージマンション3,1611,753211
29,30,ゼルダ無双 厄災の黙示録,1576,353137
