,ランク,タイトル,週間,合計
0,1,モンスターハンターライズ,277604,1579736
1,2,スーパーマリオ 3Dワールド ＋ フューリーワールド,27833,620516
2,3,桃太郎電鉄 ～昭和 平成 令和も定番！～,16289,2088585
3,4,マリオカート8 デラックス,12079,3763673
4,5,リングフィット アドベンチャー,11722,2491295
5,6,Minecraft,10253,1882992
6,7,あつまれ どうぶつの森,9653,6720514
7,8,大乱闘スマッシュブラザーズ SPECIAL,9270,4228209
8,9,OUTRIDERS（アウトライダーズ）(PS4),6596,6596
9,10,スプラトゥーン2,6027,3831996
10,11,ポケットモンスター ソード・シールド,4902,4019278
11,12,牧場物語 オリーブタウンと希望の大地,4426,266927
12,13,世界のアソビ大全51,4182,672907
13,14,スーパー マリオパーティ,4098,1854867
14,15,スーパーマリオ 3Dコレクション,3579,582429
15,16,リトルナイトメア2(NSw),3329,59602
16,17,Apex Legends チャンピオンエディション,3080,18728
17,18,ゼルダの伝説 ブレス オブ ザ ワイルド,2858,1802788
18,19,スーパーマリオメーカー2,2464,1082119
19,20,OUTRIDERS（アウトライダーズ）(PS5),2431,2431
20,21,ヒューマン フォール フラット,2415,135129
21,22,フィットボクシング2 -リズム＆エクササイズ-,2050,86410
22,23,ブレイブリーデフォルトII,2034,133351
23,24,New スーパーマリオブラザーズ U デラックス,2029,1049512
24,25,ファミリートレーナー,1948,53874
25,26,ゼルダ無双 厄災の黙示録,1911,358327
26,27,電車でGO!! はしろう山手線,1859,29624
27,28,ピクミン3 デラックス,1706,554616
28,29,SDガンダム ジージェネレーション クロスレイズ プラチナムエディション(NSw),1705,7934
29,30,太鼓の達人 Nintendo Switchば～じょん！,1623,583824
