,ランク,タイトル,週間,合計
0,1,リングフィット アドベンチャー,63958,1483985
1,2,Marvel’s Avengers（アベンジャーズ）,42979,42979
2,3,あつまれ どうぶつの森,32136,5660598
3,4,マリオカート8 デラックス,13523,3145381
4,5,世界のアソビ大全51,13410,362420
5,6,Ghost of Tsushima（ゴースト・オブ・ツシマ）,9563,385143
6,7,NBA 2K21(PS4),8541,8541
7,8,大乱闘スマッシュブラザーズ SPECIAL,7725,3817668
8,9,英雄伝説 創の軌跡,7606,91286
9,10,eBASEBALLパワフルプロ野球2020(NSw),7318,215075
10,11,ポケットモンスター ソード・シールド,6960,3724957
11,12,スプラトゥーン2,6916,3551679
12,13,Minecraft,5939,1494098
13,14,スーパー マリオパーティ,5819,1543965
14,15,ペーパーマリオ オリガミキング,5719,244110
15,16,ファイナルファンタジー・クリスタルクロニクル リマスター (NSw),5137,54094
16,17,JUMP FORCE デラックスエディション,4346,19934
17,18,ゼルダの伝説 ブレス オブ ザ ワイルド,3996,1641050
18,19,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3897,289438
19,20,eBASEBALLパワフルプロ野球2020(PS4),3565,177864
20,21,キャプテン翼 RISE OF NEW CHAMPIONS(NSw),3285,19963
21,22,New スーパーマリオブラザーズ U デラックス,3165,892556
22,23,ファイナルファンタジー・クリスタルクロニクル リマスター(PS4),3034,33203
23,24,キャプテン翼 RISE OF NEW CHAMPIONS(PS4),2994,16822
24,25,ヒューマン フォール フラット,2735,29004
25,26,NBA 2K21(NSw),2489,2489
26,27,釣りスピリッツ Nintendo Switchバージョン,2477,485935
27,28,スーパーマリオメーカー2,2476,960980
28,29,機動戦士ガンダム EXTREME VS. マキシブーストON,2300,161014
29,30,太鼓の達人 Nintendo Switchば～じょん！,2292,510333
