,ランク,タイトル,週間,合計
0,1,桃太郎電鉄 ～昭和 平成 令和も定番！～,268816,1233023
1,2,あつまれ どうぶつの森,107750,6378103
2,3,マリオカート8 デラックス,68199,3457183
3,4,リングフィット アドベンチャー,58561,2087005
4,5,ピクミン3 デラックス,54986,462806
5,6,大乱闘スマッシュブラザーズ SPECIAL,53187,4013174
6,7,Minecraft,48459,1702921
7,8,スーパー マリオパーティ,41856,1729796
8,9,世界のアソビ大全51,39673,519649
9,10,スーパーマリオ 3Dコレクション,37151,492620
10,11,ポケットモンスター ソード・シールド ＋ エキスパンションパス,32844,148298
11,12,スプラトゥーン2,32028,3688389
12,13,ポケットモンスター ソード・シールド,28535,3880590
13,14,ゼルダ無双 厄災の黙示録,26351,304963
14,15,New スーパーマリオブラザーズ U デラックス,19770,983858
15,16,スーパーマリオメーカー2,16873,1034881
16,17,ぷよぷよテトリス2(NSw),16254,56406
17,18,天穂のサクナヒメ(NSw),14366,84814
18,19,ゼルダの伝説 ブレス オブ ザ ワイルド,13902,1728037
19,20,太鼓の達人 ドコどんRPGパック！,12745,52621
20,21,釣りスピリッツ Nintendo Switchバージョン,12639,544467
21,22,ヒューマン フォール フラット,12488,87440
22,23,ま～るい地球が四角くなった!? デジボク地球防衛軍 EARTH DEFENSE FORCE： WORLD BROTHERS(NSw),12084,12084
23,24,妖怪学園Y ～ワイワイ学園生活～,11487,42077
24,25,Minecraft Dungeons Hero Edition,10953,76784
25,26,マリオカート ライブ ホームサーキット,10235,126750
26,27,ま～るい地球が四角くなった!? デジボク地球防衛軍 EARTH DEFENSE FORCE： WORLD BROTHERS(PS4),10092,10092
27,28,スーパーマリオ オデッセイ,9620,2176045
28,29,ルイージマンション3,9435,724971
29,30,太鼓の達人 Nintendo Switchば～じょん！,8957,554560
