,ランク,タイトル,週間,合計
0,1,機動戦士ガンダム EXTREME VS. マキシブーストON,123147,123147
1,2,あつまれ どうぶつの森,56730,5337128
2,3,リングフィット アドベンチャー,37217,1242596
3,4,Ghost of Tsushima（ゴースト・オブ・ツシマ）,31932,298234
4,5,ペーパーマリオ オリガミキング,22773,182508
5,6,世界のアソビ大全51,16319,277346
6,7,FAIRY TAI(NSw)L,15447,15447
7,8,eBASEBALLパワフルプロ野球2020(NSw),13341,159030
8,9,FAIRY TAIL(PS4),13236,13236
9,10,マリオカート8 デラックス,12801,3063965
10,11,eBASEBALLパワフルプロ野球2020(PS4),11497,146248
11,12,ポケットモンスター ソード・シールド,7946,3680595
12,13,スプラトゥーン2,7653,3510700
13,14,大乱闘スマッシュブラザーズ SPECIAL,7553,3774126
14,15,スーパー マリオパーティ,6257,1505977
15,16,Minecraft,5969,1458336
16,17,薄桜鬼 真改 銀星ノ抄,4756,4756
17,18,ゼルダの伝説 ブレス オブ ザ ワイルド,3694,1620553
18,19,釣りスピリッツ Nintendo Switchバージョン,3556,465408
19,20,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3289,269744
20,21,New スーパーマリオブラザーズ U デラックス,3225,872544
21,22,ニンジャラ ゲームカードパッケージ,3187,14880
22,23,スーパーマリオメーカー2,2626,944849
23,24,ソードアート・オンライン アリシゼーション リコリス,2134,87144
24,25,ルイージマンション3,2132,669808
25,26,太鼓の達人 Nintendo Switchば～じょん！,2018,495240
26,27,ドラえもん のび太の牧場物語(PS4),2015,2015
27,28,ドラゴンクエストXI　過ぎ去りし時を求めて S,2013,540252
28,29,夜、灯す,1748,1748
29,30,Root Film（ルートフィルム）,1679,1679
