,タイトル,週間,合計
0,ドラゴンクエストXI　過ぎ去りし時を求めて S ,303204 ,303204
1,CODE VEIN（コードヴェイン） ,60843 ,60843
2,ライザのアトリエ ～常闇の女王と秘密の隠れ家～(PS4) ,53428 ,53428
3,ゼルダの伝説 夢をみる島 ,45775 ,187150
4,イースIX -Monstrum NOX- ,45378 ,45378
5,FIFA 20(PS4) ,43751 ,43751
6,ワールド・ウォーZ ,27872 ,27872
7,モンスターハンターワールド：アイスボーン マスターエディション ,26324 ,346239
8,ライザのアトリエ ～常闇の女王と秘密の隠れ家～(NSw) ,25538 ,25538
9,スーパーマリオメーカー2 ,14731 ,644445
