,タイトル,週間,合計
0,ペルソナ5スクランブル ザ・ファントムストライカーズ(PS4) ,115995 ,115995
1,ペルソナ5スクランブル ザ・ファントムストライカーズ(NSw) ,46415 ,46415
2,ポケットモンスター ソード・シールド ,18403 ,3445788
3,侍道外伝 KATANAKAMI ,10654 ,10654
4,リングフィット アドベンチャー ,9861 ,696005
5,Minecraft ,8687 ,1272585
6,初音ミク プロジェクト ディーヴァ メガミックス ,8468 ,62074
7,大乱闘スマッシュブラザーズ SPECIAL ,7608 ,3569420
8,侍道外伝 KATANAKAMI ,7392 ,7392
9,マリオカート8 デラックス ,7326 ,2781277
