,タイトル,週間,合計
0,コール オブ デューティ モダン・ウォーフェア ,117670 ,117670
1,リングフィットアドベンチャー ,64045 ,132542
2,ドラゴンクエストX いばらの巫女と滅びの神 オンライン(NSw) ,34836 ,34836
3,ドラゴンクエストX いばらの巫女と滅びの神 オンライン(PS4) ,16898 ,16898
4,牧場物語 再会のミネラルタウン ,16495 ,82688
5,Bloodstained: Ritual of the Night（ブラッドステインド： リチュアル・オブ・ザ・ナイト） ,12156 ,12156
6,ドラゴンクエストXI　過ぎ去りし時を求めて S ,11090 ,412997
7,アウター・ワールド ,10659 ,10659
8,Minecraft ,8628 ,979444
9,マリオカート8 デラックス ,7865 ,2504429
