,ランク,タイトル,週間,合計
0,1,モンスターハンターライズ,1302132,1302132
1,2,スーパーマリオ 3Dワールド ＋ フューリーワールド,37166,592683
2,3,五等分の花嫁∬ ～夏の思い出も五等分～(NSw),20374,20374
3,4,桃太郎電鉄 ～昭和 平成 令和も定番！～,20179,2072296
4,5,マリオカート8 デラックス,13207,3751594
5,6,リングフィット アドベンチャー,12632,2479573
6,7,あつまれ どうぶつの森,11145,6710861
7,8,Minecraft,11096,1872739
8,9,五等分の花嫁∬ ～夏の思い出も五等分～(PS4),10378,10378
9,10,大乱闘スマッシュブラザーズ SPECIAL,10270,4218939
10,11,ポケットモンスター ソード・シールド,7472,4014376
11,12,スプラトゥーン2,6906,3825969
12,13,SDガンダム ジージェネレーション クロスレイズ プラチナムエディション(NSw),6229,6229
13,14,牧場物語 オリーブタウンと希望の大地,6080,262501
14,15,世界のアソビ大全51,4895,668725
15,16,スーパー マリオパーティ,4626,1850769
16,17,リトルナイトメア2(NSw),4438,56273
17,18,スーパーマリオ 3Dコレクション,4123,578850
18,19,Apex Legends チャンピオンエディション,3983,15648
19,20,ブレイブリーデフォルトII,3689,131317
20,21,電車でGO!! はしろう山手線,3372,27765
21,22,SDガンダム ジージェネレーション クロスレイズ プラチナムエディション(PS4),3123,3123
22,23,ゼルダの伝説 ブレス オブ ザ ワイルド,3100,1799930
23,24,ヒューマン フォール フラット,2582,132714
24,25,New スーパーマリオブラザーズ U デラックス,2468,1047483
25,26,スーパーマリオメーカー2,2449,1079655
26,27,LoverPretend,2422,2422
27,28,ピクミン3 デラックス,2409,552910
28,29,フィットボクシング2 -リズム＆エクササイズ-,2365,84360
29,30,ファミリートレーナー,2170,51926
