,ランク,タイトル,週間,合計
0,1,マリオカート ライブ ホームサーキット,73918,73918
1,2,あつまれ どうぶつの森,34547,5862668
2,3,リングフィット アドベンチャー,27303,1696146
3,4,スーパーマリオ 3Dコレクション,14797,345045
4,5,マリオカート8 デラックス,10928,3220146
5,6,moon PREMIUM EDITION（ムーン プレミアムエディション）,10154,10154
6,7,FIFA 21,7111,46263
7,8,ポケットモンスター ソード・シールド,6720,3766636
8,9,Minecraft,6471,1531498
9,10,大乱闘スマッシュブラザーズ SPECIAL,6301,3855901
10,11,スーパー マリオパーティ,5140,1577148
11,12,世界のアソビ大全51,4668,407933
12,13,スプラトゥーン2,4418,3584497
13,14,FIFA 21 Legacy Edition,4278,16268
14,15,ゼルダの伝説 ブレス オブ ザ ワイルド,3662,1666628
15,16,New スーパーマリオブラザーズ U デラックス,3314,913725
16,17,Minecraft Dungeons Hero Edition,3159,34267
17,18,eFootball ウイニングイレブン 2021 SEASON UPDATE,3043,48684
18,19,黄泉ヲ裂ク華,2731,2731
19,20,ハードコア・メカ ファイターエディション,2608,2608
20,21,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,2387,309902
21,22,スーパーマリオメーカー2,2314,976555
22,23,黄泉ヲ裂ク華,2271,2271
23,24,Ghost of Tsushima（ゴースト・オブ・ツシマ）,2101,405743
24,25,スーパーマリオ オデッセイ,2086,2134879
25,26,ヒューマン フォール フラット,2059,42165
26,27,ペーパーマリオ オリガミキング,2041,264411
27,28,eBASEBALLパワフルプロ野球2020(NSw),2019,236075
28,29,釣りスピリッツ Nintendo Switchバージョン,1789,498959
29,30,Marvel’s Avengers（アベンジャーズ）,1688,63175
