,タイトル,週間,合計
0,あつまれ どうぶつの森 ,727791 ,2608417
1,ワンピース 海賊無双4(PS4) ,75998 ,75998
2,ワンピース 海賊無双4(NSw) ,61571 ,61571
3,ポケットモンスター ソード・シールド ,14996 ,3542524
4,リングフィット アドベンチャー ,13819 ,745127
5,マリオカート8 デラックス ,11577 ,2840930
6,ポケモン不思議のダンジョン 救助隊DX ,11501 ,218394
7,仁王2 ,11270 ,129302
8,大乱闘スマッシュブラザーズ SPECIAL ,10355 ,3623274
9,Minecraft ,9908 ,1331839
