,ランク,タイトル,週間,合計
0,1,モンスターハンターライズ,110050,1884113
1,2,スーパーマリオ 3Dワールド ＋ フューリーワールド,16536,658642
2,3,ウイニングポスト9 2021(NSw),11839,11839
3,4,桃太郎電鉄 ～昭和 平成 令和も定番！～,11141,2112646
4,5,ウイニングポスト9 2021(PS4),10698,10698
5,6,マリオカート8 デラックス,9509,3783621
6,7,リングフィット アドベンチャー,8973,2510422
7,8,Minecraft,8957,1901357
8,9,あつまれ どうぶつの森,7243,6735163
9,10,大乱闘スマッシュブラザーズ SPECIAL,6682,4242726
10,11,スプラトゥーン2,4196,3840975
11,12,ポケットモンスター ソード・シールド,4080,4027992
12,13,世界のアソビ大全51,3813,680881
13,14,スーパー マリオパーティ,3297,1861709
14,15,牧場物語 オリーブタウンと希望の大地,2425,272267
15,16,リトルナイトメア2(NSw),2261,64558
16,17,ゼルダの伝説 ブレス オブ ザ ワイルド,1950,1806937
17,18,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,1910,89592
18,19,Apex Legends チャンピオンエディション,1839,22921
19,20,ヒューマン フォール フラット,1692,138877
20,21,フィットボクシング2 -リズム＆エクササイズ-,1687,89749
21,22,スーパーマリオメーカー2,1681,1085887
22,23,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,1588,1588
23,24,New スーパーマリオブラザーズ U デラックス,1586,1052827
24,25,スーパーマリオ オデッセイ,1525,2225910
25,26,eBASEBALLパワフルプロ野球2020(NSw),1390,297187
26,27,ピクミン3 デラックス,1242,557264
27,28,釣りスピリッツ Nintendo Switchバージョン,1240,579714
28,29,ギア・クラブ アンリミテッド2 アルティメットエディション,1236,1236
29,30,ブレイブリーデフォルトII,1233,136091
