,ランク,タイトル,週間,合計
0,1,マリオゴルフ スーパーラッシュ,31685,112115
1,2,ナビつき！ つくってわかる はじめてゲームプログラミング,17640,143648
2,3,リングフィット アドベンチャー,14422,2669091
3,4,Minecraft,13211,2032643
4,5,戦国無双5(NSw),11555,50246
5,6,戦国無双5(PS4),10292,65967
6,7,マリオカート8 デラックス,10211,3898694
7,8,Miitopia,9593,179233
8,9,桃太郎電鉄 ～昭和 平成 令和も定番！～,9458,2251898
9,10,スーパーマリオ 3Dワールド ＋ フューリーワールド,7954,798431
10,11,大乱闘スマッシュブラザーズ SPECIAL,7582,4326142
11,12,モンスターハンターライズ,7298,2279942
12,13,あつまれ どうぶつの森,6167,6813456
13,14,SCARLET NEXUS（スカーレットネクサス）(PS4),5805,25965
14,15,スーパー マリオパーティ,5599,1924087
15,16,世界のアソビ大全51,4723,738960
16,17,もしかして？ おばけの射的屋 for Nintendo Switch,4486,4486
17,18,New ポケモンスナップ,4367,253358
18,19,スプラトゥーン2,4162,3892616
19,20,ポケットモンスター ソード・シールド,4123,4075472
20,21,ゼルダの伝説 ブレス オブ ザ ワイルド,2991,1832380
21,22,フィットボクシング2 -リズム＆エクササイズ-,2635,116342
22,23,Summer Pockets REFLECTION BLUE（サマーポケッツ リフレクション ブルー）,2351,2351
23,24,バイオハザード　ヴィレッジ,2265,191983
24,25,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,2098,111131
25,26,SCARLET NEXUS（スカーレットネクサス）(PS5),1777,12785
26,27,スーパーマリオ オデッセイ,1757,2245111
27,28,Caligula2(NSw),1738,11981
28,29,スーパーマリオメーカー2,1676,1105741
29,30,スーパーマリオ 3Dコレクション,1642,597402
