,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,23069,5885737
1,2,リングフィット アドベンチャー,21120,1717266
2,3,スーパーマリオ 3Dコレクション,10383,355428
3,4,マリオカート8 デラックス,8802,3228948
4,5,マリオカート ライブ ホームサーキット,7691,81609
5,6,ポケットモンスター ソード・シールド,7088,3773724
6,7,Minecraft,5863,1537361
7,8,大乱闘スマッシュブラザーズ SPECIAL,4736,3860637
8,9,世界のアソビ大全51,4051,411984
9,10,スーパー マリオパーティ,3739,1580887
10,11,スプラトゥーン2,3651,3588148
11,12,FIFA 21,3382,49645
12,13,ゼルダの伝説 ブレス オブ ザ ワイルド,3051,1669679
13,14,New スーパーマリオブラザーズ U デラックス,2630,916355
14,15,Minecraft Dungeons Hero Edition,2590,36857
15,16,Ghost of Tsushima（ゴースト・オブ・ツシマ）,2569,408312
16,17,FIFA 21 Legacy Edition,2403,18671
17,18,eFootball ウイニングイレブン 2021 SEASON UPDATE,2255,50939
18,19,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,1969,311871
19,20,スーパーマリオメーカー2,1836,978391
20,21,ヒューマン フォール フラット,1778,43943
21,22,ペーパーマリオ オリガミキング,1630,266041
22,23,スーパーマリオ オデッセイ,1605,2136484
23,24,ケイデンス・オブ・ハイラル： クリプト・オブ・ネクロダンサー feat. ゼルダの伝説,1539,1539
24,25,釣りスピリッツ Nintendo Switchバージョン,1537,500496
25,26,eBASEBALLパワフルプロ野球2020(NSw),1475,237550
26,27,モンスターハンターダブルクロス Nintendo Switch Ver. Best Price,1421,102216
27,28,太鼓の達人 Nintendo Switchば～じょん！,1391,522289
28,29,ルイージマンション3,1257,693048
29,30,Marvel’s Avengers（アベンジャーズ）,1080,64255
