,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,71695 ,3256754
1,リングフィット アドベンチャー ,21498 ,547569
2,Minecraft ,15845 ,1208747
3,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング ,15757 ,91908
4,大乱闘スマッシュブラザーズ SPECIAL ,14129 ,3510455
5,マリオカート8 デラックス ,14100 ,2725304
6,ルイージマンション3 ,11639 ,570071
7,スーパー マリオパーティ ,9560 ,1311173
8,マリオ＆ソニック AT 東京2020オリンピックTM ,8774 ,248507
9,スプラトゥーン2 ,8055 ,3288270
