,ランク,タイトル,週間,合計
0,1,Miitopia,34451,107176
1,2,バイオミュータント,24596,24596
2,3,モンスターハンターライズ,23932,2225801
3,4,リングフィット アドベンチャー,14057,2600834
4,5,ルーンファクトリー5,12903,115756
5,6,Minecraft,11635,1971879
6,7,バイオハザード　ヴィレッジ(PS4),10584,173132
7,8,桃太郎電鉄 ～昭和 平成 令和も定番！～,10290,2202018
8,9,マリオカート8 デラックス,8665,3852865
9,10,スーパーマリオ 3Dワールド ＋ フューリーワールド,8587,757936
10,11,New ポケモンスナップ,7698,229443
11,12,大乱闘スマッシュブラザーズ SPECIAL,6643,4291915
12,13,あつまれ どうぶつの森,5982,6784128
13,14,世界のアソビ大全51,4961,715510
14,15,スーパー マリオパーティ,4956,1898273
15,16,スプラトゥーン2,4193,3872414
16,17,バイオハザード　ヴィレッジ(PS5),3695,51868
17,18,ポケットモンスター ソード・シールド,3572,4056240
18,19,ワールズエンドクラブ,2968,2968
19,20,フィットボクシング2 -リズム＆エクササイズ-,2892,104597
20,21,探偵撲滅,2696,2696
21,22,JUDGE EYES：死神の遺言（新価格版）,2566,18234
22,23,スーパーマリオ 3Dコレクション,2157,593574
23,24,NieR Replicant ver.1.22474487139...,2143,156346
24,25,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,2047,100524
25,26,Paradigm Paradox,1983,1983
26,27,ゼルダの伝説 ブレス オブ ザ ワイルド,1907,1820114
27,28,アンジェリーク ルミナライズ,1662,14506
28,29,Demon’s Souls,1607,51796
29,30,ヒューマン フォール フラット,1603,151508
