,ランク,タイトル,週間,合計
0,1,スーパーマリオ 3Dコレクション,210136,210136
1,2,リングフィット アドベンチャー,48826,1576270
2,3,あつまれ どうぶつの森,32097,5724253
3,4,eFootball ウイニングイレブン 2021 SEASON UPDATE,26215,26215
4,5,プロ野球 ファミスタ 2020,15129,15129
5,6,マリオカート8 デラックス,13094,3170755
6,7,世界のアソビ大全51,9572,381612
7,8,アズールレーン クロスウェーブ,7413,7413
8,9,ポケットモンスター ソード・シールド,6887,3738336
9,10,大乱闘スマッシュブラザーズ SPECIAL,6288,3830717
10,11,スプラトゥーン2,6075,3563880
11,12,Minecraft Dungeons Hero Edition,5978,17428
12,13,スーパー マリオパーティ,5683,1554931
13,14,Minecraft,5674,1505288
14,15,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,4658,297821
15,16,Ghost of Tsushima（ゴースト・オブ・ツシマ）,4562,395813
16,17,ゼルダの伝説 ブレス オブ ザ ワイルド,4297,1649922
17,18,eBASEBALLパワフルプロ野球2020(NSw),4186,224358
18,19,ペーパーマリオ オリガミキング,4116,252875
19,20,New スーパーマリオブラザーズ U デラックス,3717,899432
20,21,Marvel’s Avengers（アベンジャーズ）,3502,54373
21,22,ビルシャナ戦姫 ～源平飛花夢想～,3158,3158
22,23,スーパーマリオメーカー2,2520,965965
23,24,ヒューマン フォール フラット,2216,33477
24,25,釣りスピリッツ Nintendo Switchバージョン,2199,490598
25,26,スーパーマリオ オデッセイ,2113,2125977
26,27,英雄伝説 創の軌跡,1995,96140
27,28,JUMP FORCE デラックスエディション,1837,24227
28,29,太鼓の達人 Nintendo Switchば～じょん！,1768,514110
29,30,ルイージマンション3,1750,685436
