,ランク,タイトル,週間,合計
0,1,スーパーマリオ 3Dワールド ＋ フューリーワールド,97955,347973
1,2,桃太郎電鉄 ～昭和 平成 令和も定番！～,41508,1934185
2,3,リングフィット アドベンチャー,23686,2394045
3,4,あつまれ どうぶつの森,13677,6655082
4,5,マリオカート8 デラックス,13478,3685972
5,6,大乱闘スマッシュブラザーズ SPECIAL,9326,4165316
6,7,スプラトゥーン2,8521,3787487
7,8,Minecraft,8423,1825487
8,9,ポケットモンスター ソード・シールド,7720,3971598
9,10,リトルナイトメア2(NSw),7521,31991
10,11,世界のアソビ大全51,5822,643837
11,12,スーパー マリオパーティ,4800,1829130
12,13,ゼルダの伝説 ブレス オブ ザ ワイルド,4470,1780336
13,14,リトルナイトメア2(PS4),4374,15537
14,15,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,3444,69836
15,16,スーパーマリオ 3Dコレクション,2785,561890
16,17,ピクミン3 デラックス,2707,542447
17,18,天穂のサクナヒメ(NSw),2655,139836
18,19,フィットボクシング2 -リズム＆エクササイズ-,2642,73490
19,20,ゼルダ無双 厄災の黙示録,2570,347076
20,21,シルバー2425,2258,2258
21,22,New スーパーマリオブラザーズ U デラックス,2229,1036883
22,23,ヒューマン フォール フラット,2138,120310
23,24,スーパーマリオメーカー2,1825,1069420
24,25,NieR：Automata Game of the YoRHa Edition（ニーア オートマタ ゲーム オブ ザ ヨルハ エディション）,1773,106221
25,26,スーパーマリオ オデッセイ,1751,2212481
26,27,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,1671,367198
27,28,仁王2 Complete Edition,1605,9969
28,29,ぷよぷよテトリス2(NSw),1489,92511
29,30,ドラゴンクエストXI　過ぎ去りし時を求めて S(PS4),1370,61063
