,ランク,タイトル,週間,合計
0,1,桃太郎電鉄 ～昭和 平成 令和も定番！～,190427,1423450
1,2,あつまれ どうぶつの森,94382,6472485
2,3,マリオカート8 デラックス,83853,3541036
3,4,リングフィット アドベンチャー,70714,2157719
4,5,大乱闘スマッシュブラザーズ SPECIAL,54865,4068039
5,6,世界のアソビ大全51,45354,565003
6,7,スーパー マリオパーティ,44867,1774663
7,8,Minecraft,37530,1740451
8,9,ピクミン3 デラックス,36350,499156
9,10,スーパーマリオ 3Dコレクション,32993,525613
10,11,スプラトゥーン2,29874,3718263
11,12,ポケットモンスター ソード・シールド,26717,3907307
12,13,ポケットモンスター ソード・シールド ＋ エキスパンションパス,23825,172123
13,14,New スーパーマリオブラザーズ U デラックス,21634,1005492
14,15,天穂のサクナヒメ(NSw),15849,100663
15,16,ゼルダ無双 厄災の黙示録,14843,319806
16,17,ぷよぷよテトリス2(NSw),14452,70858
17,18,スーパーマリオ オデッセイ,14401,2190446
18,19,スーパーマリオメーカー2,14208,1049089
19,20,ゼルダの伝説 ブレス オブ ザ ワイルド,13609,1741646
20,21,釣りスピリッツ Nintendo Switchバージョン,10891,555358
21,22,ヒューマン フォール フラット,10274,97714
22,23,ルイージマンション3,9552,734523
23,24,ダービースタリオン,9425,117995
24,25,フィットボクシング2 -リズム＆エクササイズ-,9304,42099
25,26,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,8624,42063
26,27,太鼓の達人 ドコどんRPGパック！,8525,61146
27,28,マリオ＆ソニック AT 東京2020オリンピックTM,7696,370235
28,29,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,7496,351237
29,30,コール オブ デューティ ブラックオプス コールドウォー,7002,157966
