,タイトル,週間,合計
0,ディズニー ツムツム フェスティバル ,30350 ,30350
1,ドラゴンクエストXI　過ぎ去りし時を求めて S ,25292 ,386163
2,ゴーストリコン ブレイクポイント ,12664 ,67397
3,妖怪ウォッチ1 for Nintendo Switch ,9426 ,9426
4,ゼルダの伝説 夢をみる島 ,9338 ,212918
5,モンスターハンターワールド：アイスボーン マスターエディション ,9332 ,371268
6,マリオカート8 デラックス ,7696 ,2488259
7,Minecraft ,7308 ,961796
8,スーパーマリオメーカー2 ,7196 ,661481
9,大乱闘スマッシュブラザーズ SPECIAL ,6732 ,3295636
