,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,105983,5551198
1,2,リングフィット アドベンチャー,26320,1335744
2,3,世界のアソビ大全51,25245,322200
3,4,マリオカート8 デラックス,25032,3105860
4,5,ペーパーマリオ オリガミキング,20978,222575
5,6,eBASEBALLパワフルプロ野球2020(NSw),16444,190925
6,7,Ghost of Tsushima（ゴースト・オブ・ツシマ）,14953,345317
7,8,大乱闘スマッシュブラザーズ SPECIAL,12673,3796608
8,9,ポケットモンスター ソード・シールド,12603,3703045
9,10,スーパー マリオパーティ,12293,1527133
10,11,スプラトゥーン2,11416,3530474
11,12,Minecraft,10245,1476040
12,13,機動戦士ガンダム EXTREME VS. マキシブーストON,10065,151390
13,14,eBASEBALLパワフルプロ野球2020(PS4),9012,165168
14,15,釣りスピリッツ Nintendo Switchバージョン,7215,477175
15,16,New スーパーマリオブラザーズ U デラックス,6262,883364
16,17,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,5206,279426
17,18,ゼルダの伝説 ブレス オブ ザ ワイルド,5203,1629989
18,19,スーパーマリオメーカー2,4974,953283
19,20,ヒューマン フォール フラット,4915,22239
20,21,太鼓の達人 Nintendo Switchば～じょん！,4886,503179
21,22,マリオ＆ソニック AT 東京2020オリンピックTM,3743,333678
22,23,ニンジャラ ゲームカードパッケージ,3686,21864
23,24,ルイージマンション3,3606,676013
24,25,妖怪学園Y ～ワイワイ学園生活～（ダウンロードカード版）,3059,3059
25,26,【超激レア】ふたりで！にゃんこ大戦争「ソフト＆ポーチセット」,2292,18340
26,27,ドラゴンクエストXI　過ぎ去りし時を求めて S,2228,544423
27,28,EA SPORTS UFC 4,2150,2150
28,29,星のカービィ スターアライズ,2119,832423
29,30,スーパーマリオ オデッセイ,2081,2118231
