,ランク,タイトル,週間,合計
0,1,モンスターハンターストーリーズ2　～破滅の翼～,137676,137676
1,2,eBASEBALL プロ野球スピリッツ2021 グランドスラム,106597,106597
2,3,マリオゴルフ スーパーラッシュ,17333,129448
3,4,ナビつき！ つくってわかる はじめてゲームプログラミング,14105,157753
4,5,リングフィット アドベンチャー,12847,2681938
5,6,Minecraft,12348,2044991
6,7,マリオカート8 デラックス,10614,3909308
7,8,桃太郎電鉄 ～昭和 平成 令和も定番！～,9298,2261196
8,9,Miitopia,8272,187505
9,10,大乱闘スマッシュブラザーズ SPECIAL,7434,4333576
10,11,スーパーマリオ 3Dワールド ＋ フューリーワールド,6933,805364
11,12,あつまれ どうぶつの森,6208,6819664
12,13,モンスターハンターライズ,5524,2285466
13,14,戦国無双5(NSw),5324,55570
14,15,スーパー マリオパーティ,5237,1929324
15,16,世界のアソビ大全51,4582,743542
16,17,ポケットモンスター ソード・シールド,4533,4080005
17,18,戦国無双5(PS4),4409,70376
18,19,スプラトゥーン2,4304,3896920
19,20,SCARLET NEXUS（スカーレットネクサス）(PS4),3581,29546
20,21,ゼルダの伝説 ブレス オブ ザ ワイルド,3558,1835938
21,22,New ポケモンスナップ,3505,256863
22,23,英雄伝説 閃の軌跡I：改 -Thors Military Academy 1204-,3426,3426
23,24,もしかして？ おばけの射的屋 for Nintendo Switch,2884,7370
24,25,フィットボクシング2 -リズム＆エクササイズ-,2708,119050
25,26,風雨来記4(PS4),2223,2223
26,27,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,2132,113263
27,28,風雨来記4(NSw),1755,1755
28,29,スーパーマリオ オデッセイ,1666,2246777
29,30,スーパーマリオメーカー2,1650,1107391
