,タイトル,週間,合計
0,リングフィット アドベンチャー ,68497 ,68497
1,牧場物語 再会のミネラルタウン ,66193 ,66193
2,ドラゴンクエストXI　過ぎ去りし時を求めて S ,15744 ,401907
3,ディズニー ツムツム フェスティバル ,11824 ,42174
4,Minecraft ,9020 ,970816
5,マリオカート8 デラックス ,8305 ,2496564
6,スーパーマリオメーカー2 ,7964 ,669445
7,モンスターハンターワールド：アイスボーン マスターエディション ,7468 ,378736
8,大乱闘スマッシュブラザーズ SPECIAL ,7312 ,3302948
9,ウィッチャー3 ワイルドハント コンプリートエディション ,7218 ,7218
