,タイトル,週間,合計
0,ペルソナ5 ザ・ロイヤル ,201448 ,201448
1,ルイージマンション3 ,150649 ,150649
2,リングフィットアドベンチャー ,51143 ,183685
3,コール オブ デューティ モダン・ウォーフェア ,37905 ,155575
4,マリオ＆ソニック AT 東京2020オリンピックTM ,19438 ,19438
5,ドラゴンクエストXI　過ぎ去りし時を求めて S ,8551 ,421548
6,牧場物語 再会のミネラルタウン ,8266 ,90954
7,Minecraft ,7758 ,987202
8,マリオカート8 デラックス ,7233 ,2511662
9,大乱闘スマッシュブラザーズ SPECIAL ,7109 ,3317305
