,ランク,タイトル,週間,合計
0,1,リングフィット アドベンチャー,43459,1527444
1,2,あつまれ どうぶつの森,31558,5692156
2,3,マリオカート8 デラックス,12280,3157661
3,4,Minecraft Dungeons Hero Edition,11450,11450
4,5,世界のアソビ大全51,9620,372040
5,6,Marvel’s Avengers（アベンジャーズ）,7892,50871
6,7,メタルマックス Xeno Reborn（ゼノリボーン）(PS4),7789,7789
7,8,メタルマックス Xeno Reborn（ゼノリボーン）(NSw),7277,7277
8,9,大乱闘スマッシュブラザーズ SPECIAL,6761,3824429
9,10,ポケットモンスター ソード・シールド,6492,3731449
10,11,スプラトゥーン2,6126,3557805
11,12,Ghost of Tsushima（ゴースト・オブ・ツシマ）,6108,391251
12,13,Minecraft,5516,1499614
13,14,スーパー マリオパーティ,5283,1549248
14,15,eBASEBALLパワフルプロ野球2020(NSw),5097,220172
15,16,ペーパーマリオ オリガミキング,4649,248759
16,17,ゼルダの伝説 ブレス オブ ザ ワイルド,4575,1645625
17,18,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3725,293163
18,19,New スーパーマリオブラザーズ U デラックス,3159,895715
19,20,英雄伝説 創の軌跡,2859,94145
20,21,スーパーマリオメーカー2,2465,963445
21,22,釣りスピリッツ Nintendo Switchバージョン,2464,488399
22,23,JUMP FORCE デラックスエディション,2456,22390
23,24,PROJECT CARS 3,2404,2404
24,25,eBASEBALLパワフルプロ野球2020(PS4),2379,180243
25,26,ヒューマン フォール フラット,2257,31261
26,27,ファイナルファンタジー・クリスタルクロニクル リマスター(NSw),2093,56187
27,28,NBA 2K21,2027,10568
28,29,太鼓の達人 Nintendo Switchば～じょん！,2009,512342
29,30,スーパーマリオ オデッセイ,1858,2123864
