,タイトル,週間,合計
0,モンスターハンターワールド：アイスボーン マスターエディション ,206156 ,206156
1,モンスターハンターワールド：アイスボーン ,44160 ,44160
2,スーパーマリオメーカー2 ,18296 ,600297
3,NBA 2K20 ,13461 ,13461
4,大乱闘スマッシュブラザーズ SPECIAL ,10611 ,3243816
5,ASTRAL CHAIN（アストラルチェイン） ,9129 ,41365
6,釣りスピリッツ Nintendo Switchバージョン ,9018 ,153154
7,マリオカート8 デラックス ,8850 ,2440455
8,Minecraft ,8221 ,915471
9,ファイアーエムブレム 風花雪月 ,6255 ,235352
