,ランク,タイトル,週間,合計
0,1,ゼルダの伝説 スカイウォードソード HD,159089,159089
1,2,クレヨンしんちゃん「オラと博士の夏休み」～おわらない七日間の旅～,107319,107319
2,3,モンスターハンターストーリーズ2　～破滅の翼～,32111,169787
3,4,eBASEBALL プロ野球スピリッツ2021 グランドスラム,20711,127308
4,5,リングフィット アドベンチャー,12164,2694102
5,6,Minecraft,11565,2056556
6,7,ナビつき！ つくってわかる はじめてゲームプログラミング,10634,168387
7,8,マリオゴルフ スーパーラッシュ,10339,139787
8,9,マリオカート8 デラックス,9945,3919253
9,10,地球防衛軍2 for Nintendo Switch,9379,9379
10,11,桃太郎電鉄 ～昭和 平成 令和も定番！～,8661,2269857
11,12,大乱闘スマッシュブラザーズ SPECIAL,7022,4340598
12,13,Miitopia,6674,194179
13,14,スーパーマリオ 3Dワールド ＋ フューリーワールド,6323,811687
14,15,モンスターを倒して強い剣や鎧を手にしなさい。死んでも諦めずに強くなりなさい。勇者隊が魔王を倒すその日を信じています。,5754,5754
15,16,あつまれ どうぶつの森,5493,6825157
16,17,スーパー マリオパーティ,4733,1934057
17,18,モンスターハンターライズ,4347,2289813
18,19,ポケットモンスター ソード・シールド,4141,4084146
19,20,世界のアソビ大全51,4063,747605
20,21,スプラトゥーン2,4062,3900982
21,22,ゼルダの伝説 ブレス オブ ザ ワイルド,3485,1839423
22,23,戦国無双5(NSw),2892,58462
23,24,戦国無双5(PS4),2351,72727
24,25,フィットボクシング2 -リズム＆エクササイズ-,2226,121276
25,26,New ポケモンスナップ,2189,259052
26,27,SCARLET NEXUS（スカーレットネクサス）(PS4),2119,31665
27,28,元祖みんなでスペランカー,1927,1927
28,29,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,1878,115141
29,30,もしかして？ おばけの射的屋 for Nintendo Switch,1730,9100
