,タイトル,週間,合計
0,ドラゴンクエストXI　過ぎ去りし時を求めて S ,57667 ,360871
1,ゴーストリコン ブレイクポイント ,54733 ,54733
2,ゼルダの伝説 夢をみる島 ,16430 ,203580
3,モンスターハンターワールド：アイスボーン マスターエディション ,15697 ,361936
4,CODE VEIN（コードヴェイン） ,12926 ,73769
5,スーパーマリオメーカー2 ,9840 ,654285
6,FIFA 20(PS4) ,9435 ,53186
7,大乱闘スマッシュブラザーズ SPECIAL ,9252 ,3288904
8,マリオカート8 デラックス ,8941 ,2480563
9,Minecraft ,8507 ,954488
