,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,24886 ,3470674
1,ペルソナ5スクランブル ザ・ファントムストライカーズ ,19504 ,135499
2,Minecraft ,12510 ,1285095
3,マリオカート8 デラックス ,11958 ,2793235
4,大乱闘スマッシュブラザーズ SPECIAL ,11635 ,3581055
5,ロックマン ゼロ＆ゼクス ダブルヒーローコレクション ,11610 ,11610
6,リングフィット アドベンチャー ,8958 ,704963
7,ペルソナ5スクランブル ザ・ファントムストライカーズ ,8889 ,55304
8,スーパー マリオパーティ ,7650 ,1354554
9,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング ,7644 ,165331
