,ランク,タイトル,週間,合計
0,1,Ghost of Tsushima（ゴースト・オブ・ツシマ）,212915,212915
1,2,ペーパーマリオ オリガミキング,109092,109092
2,3,あつまれ どうぶつの森,71897,5186283
3,4,リングフィット アドベンチャー,36183,1173243
4,5,eBASEBALLパワフルプロ野球2020(NSw),29719,124595
5,6,eBASEBALLパワフルプロ野球2020(PS4),26951,118498
6,7,世界のアソビ大全51,20586,235891
7,8,マリオカート8 デラックス,10031,3035989
8,9,【超激レア】ふたりで！にゃんこ大戦争「ソフト＆ポーチセット」,9725,9725
9,10,ポケットモンスター ソード・シールド,7843,3662804
10,11,ソードアート・オンライン アリシゼーション リコリス,7831,81162
11,12,スプラトゥーン2,7104,3493303
12,13,大乱闘スマッシュブラザーズ SPECIAL,6253,3758033
13,14,Minecraft,5659,1444331
14,15,スーパー マリオパーティ,5190,1491649
15,16,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3114,262224
16,17,ゼルダの伝説 ブレス オブ ザ ワイルド,3053,1612840
17,18,New スーパーマリオブラザーズ U デラックス,2794,865217
18,19,スーパーマリオメーカー2,2578,938858
19,20,レムナント：フロム・ジ・アッシュ,2520,26670
20,21,インディヴィジブル 闇を祓う魂たち,2479,2479
21,22,The Last of Us Part II（ラスト・オブ・アス パートII）,2427,220618
22,23,インディヴィジブル 闇を祓う魂たち,2132,2132
23,24,ルイージマンション3,2072,664768
24,25,釣りスピリッツ Nintendo Switchバージョン,2071,454480
25,26,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,1955,109023
26,27,ドラゴンクエストXI　過ぎ去りし時を求めて S,1708,535885
27,28,スーパーマリオ オデッセイ,1675,2110990
28,29,Code：Realize ～白銀の奇跡～ for Nintendo Switch,1620,1620
29,30,ヒューマン フォール フラット,1619,11375
