,ランク,タイトル,週間,合計
0,1,ナビつき！ つくってわかる はじめてゲームプログラミング,31487,102728
1,2,リングフィット アドベンチャー,13005,2640913
2,3,Minecraft,12316,2007544
3,4,Miitopia,12184,159586
4,5,桃太郎電鉄 ～昭和 平成 令和も定番！～,10393,2233900
5,6,マリオカート8 デラックス,8957,3880206
6,7,モンスターハンターライズ,7787,2265122
7,8,スーパーマリオ 3Dワールド ＋ フューリーワールド,7732,784047
8,9,大乱闘スマッシュブラザーズ SPECIAL,6656,4312498
9,10,あつまれ どうぶつの森,6094,6801696
10,11,スーパー マリオパーティ,4716,1914029
11,12,世界のアソビ大全51,4703,729706
12,13,スプラトゥーン2,4211,3884824
13,14,ポケットモンスター ソード・シールド,4079,4067720
14,15,New ポケモンスナップ,3717,243607
15,16,バイオハザード　ヴィレッジ(PS4),3662,186915
16,17,ラチェット＆クランク パラレル・トラブル,3187,17850
17,18,ゼルダの伝説 ブレス オブ ザ ワイルド,2686,1826772
18,19,ファイナルファンタジーVII リメイク インターグレード,2602,23491
19,20,フィットボクシング2 -リズム＆エクササイズ-,2403,111305
20,21,ルーンファクトリー5,2336,127968
21,22,NINJA GAIDEN： マスターコレクション(PS4),2273,14483
22,23,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,2157,107020
23,24,GUILTY GEAR -STRIVE-（ギルティギア ストライヴ）,1852,13574
24,25,JUDGE EYES：死神の遺言（新価格版）,1745,24271
25,26,NINJA GAIDEN： マスターコレクション(NSw),1691,8265
26,27,スーパーマリオ オデッセイ,1623,2241841
27,28,スーパーマリオメーカー2,1543,1102573
28,29,ヒューマン フォール フラット,1486,155973
29,30,ファミコン探偵倶楽部 消えた後継者・うしろに立つ少女 COLLECTOR’S EDITION,1445,20949
