,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,201838 ,2224881
1,ルイージマンション3 ,34122 ,319297
2,リングフィットアドベンチャー ,16128 ,328511
3,Minecraft ,15335 ,1038091
4,マリオ＆ソニック AT 東京2020オリンピックTM ,15159 ,77180
5,マリオカート8 デラックス ,14623 ,2557915
6,大乱闘スマッシュブラザーズ SPECIAL ,13959 ,3362447
7,スーパー マリオパーティ ,13872 ,1177650
8,スーパーマリオメーカー2 ,12284 ,720268
9,釣りスピリッツ Nintendo Switchバージョン ,11521 ,243913
