,タイトル,週間,合計
0,あつまれ どうぶつの森 ,1880626 ,1880626
1,仁王2 ,26140 ,118032
2,ポケモン不思議のダンジョン 救助隊DX ,21954 ,206893
3,ポケットモンスター ソード・シールド ,17608 ,3527528
4,Minecraft ,12116 ,1321931
5,マリオカート8 デラックス ,12095 ,2829353
6,大乱闘スマッシュブラザーズ SPECIAL ,10647 ,3612919
7,リングフィット アドベンチャー ,7505 ,731308
8,スプラトゥーン2 ,7467 ,3349417
9,スーパー マリオパーティ ,6580 ,1375417
