,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,196925 ,3185059
1,ルイージマンション3 ,52434 ,558432
2,マリオカート8 デラックス ,52195 ,2711204
3,Minecraft ,46963 ,1192902
4,マリオ＆ソニック AT 東京2020オリンピックTM ,44605 ,239733
5,大乱闘スマッシュブラザーズ SPECIAL ,43274 ,3496326
6,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング ,41455 ,76151
7,スーパー マリオパーティ ,37903 ,1301613
8,釣りスピリッツ Nintendo Switchバージョン ,30705 ,367700
9,リングフィット アドベンチャー ,30432 ,526071
