,ランク,タイトル,週間,合計
0,1,スーパーマリオ 3Dワールド ＋ フューリーワールド,37396,555517
1,2,電車でGO!! はしろう山手線,24393,24393
2,3,桃太郎電鉄 ～昭和 平成 令和も定番！～,20275,2052117
3,4,ジャックジャンヌ,15827,15827
4,5,リングフィット アドベンチャー,14865,2466941
5,6,マリオカート8 デラックス,11925,3738387
6,7,Apex Legends チャンピオンエディション,11665,11665
7,8,大乱闘スマッシュブラザーズ SPECIAL,10397,4208669
8,9,あつまれ どうぶつの森,9516,6699716
9,10,Minecraft,9320,1861643
10,11,ポケットモンスター ソード・シールド,7764,4006904
11,12,牧場物語 オリーブタウンと希望の大地,7431,256421
12,13,スプラトゥーン2,6844,3819063
13,14,英雄伝説 閃の軌跡IV,6074,6074
14,15,リトルナイトメア2(NSw),5498,51835
15,16,MAGLAM LORD／マグラムロード(NSw),5074,5074
16,17,ブレイブリーデフォルトII,5006,127628
17,18,世界のアソビ大全51,4563,663830
18,19,スーパー マリオパーティ,3978,1846143
19,20,A列車で行こう はじまる観光計画,,週:3864 計:20043
20,21,ゼルダの伝説 ブレス オブ ザ ワイルド,3332,1796830
21,22,スーパーマリオ 3Dコレクション,2650,574727
22,23,ヒューマン フォール フラット,2558,130132
23,24,MAGLAM LORD／マグラムロード(PS4),2518,2518
24,25,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,2511,82367
25,26,New スーパーマリオブラザーズ U デラックス,2107,1045015
26,27,ピクミン3 デラックス,2068,550501
27,28,スーパーマリオメーカー2,1996,1077206
28,29,フィットボクシング2 -リズム＆エクササイズ-,1848,81995
29,30,ゼルダ無双 厄災の黙示録,1846,354983
