,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,77259,4860488
1,2,世界のアソビ大全51,47181,111624
2,3,リングフィット アドベンチャー,20023,1006069
3,4,マリオカート8 デラックス,9727,2986454
4,5,スプラトゥーン2,8692,3455342
5,6,ゼノブレイド ディフィニティブ・エディション,7950,115525
6,7,Minecraft,6968,1413900
7,8,ポケットモンスター ソード・シールド,6741,3621068
8,9,大乱闘スマッシュブラザーズ SPECIAL,6634,3725316
9,10,スーパー マリオパーティ,4855,1467338
10,11,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,4489,89460
11,12,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3579,247071
12,13,ゼルダの伝説 ブレス オブ ザ ワイルド,3352,1597496
13,14,スーパーマリオメーカー2,3201,925405
14,15,ファイナルファンタジーVII リメイク,3165,926856
15,16,ルイージマンション3,2720,653434
16,17,New スーパーマリオブラザーズ U デラックス,2522,852196
17,18,グランド・セフト・オートV：プレミアム・オンラインエディション（再廉価版）,2360,62556
18,19,グランツーリスモSPORT（PlayStation Hits）,2208,38073
19,20,釣りスピリッツ Nintendo Switchバージョン,1912,444618
20,21,ドラゴンクエストXI　過ぎ去りし時を求めて S,1792,526936
21,22,太鼓の達人 Nintendo Switchば～じょん！,1698,483106
22,23,聖剣伝説3 トライアルズ オブ マナ(PS4),1607,133593
23,24,スーパーマリオ オデッセイ,1588,2103236
24,25,とびだせ どうぶつの森 amiibo＋,1573,512278
25,26,聖剣伝説3 トライアルズ オブ マナ(NSw),1562,100451
26,27,Fit Boxing,1475,113462
27,28,Horizon Zero Dawn Complete Edition（PlayStation Hits）,1421,41714
28,29,BAYONETTA＆VANQUISH,1410,11312
29,30,ポケモン不思議のダンジョン 救助隊DX,1392,258185
