,ランク,タイトル,週間,合計
0,1,桃太郎電鉄 ～昭和 平成 令和も定番！～,79362,1789756
1,2,リングフィット アドベンチャー,42124,2316011
2,3,あつまれ どうぶつの森,25151,6606006
3,4,魔界戦記ディスガイア6(NSw),23551,23551
4,5,マリオカート8 デラックス,17503,3638441
5,6,魔界戦記ディスガイア6(PS4),15761,15761
6,7,大乱闘スマッシュブラザーズ SPECIAL,11220,4133863
7,8,Minecraft,10546,1797233
8,9,世界のアソビ大全51,10411,623205
9,10,スプラトゥーン2,9514,3762719
10,11,ポケットモンスター ソード・シールド,9163,3947256
11,12,スーパー マリオパーティ,6662,1811902
12,13,バディミッション BOND,6531,6531
13,14,天穂のサクナヒメ(NSw),6056,128442
14,15,うみねこのなく頃に咲 ～猫箱と夢想の交響曲～(NSw),5821,5821
15,16,Re：ゼロから始める異世界生活 偽りの王選候補(NSw),5083,5083
16,17,ゼルダの伝説 ブレス オブ ザ ワイルド,5032,1765762
17,18,ピクミン3 デラックス,4834,532285
18,19,フィットボクシング2 -リズム＆エクササイズ-,4340,64698
19,20,ヒューマン フォール フラット,4164,112345
20,21,スーパーマリオ 3Dコレクション,4114,551663
21,22,New スーパーマリオブラザーズ U デラックス,4072,1027859
22,23,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,3963,58653
23,24,ぎゃる☆がん りたーんず,3718,3718
24,25,ゼルダ無双 厄災の黙示録,3429,338046
25,26,うみねこのなく頃に咲 ～猫箱と夢想の交響曲～(PS4),3361,3361
26,27,Re：ゼロから始める異世界生活 偽りの王選候補(PS4),2868,2868
27,28,メルヘンフォーレスト(NSw),2686,2686
28,29,スーパーマリオ オデッセイ,2652,2206067
29,30,ポケットモンスター ソード・シールド ＋ エキスパンションパス,2584,194310
