,ランク,タイトル,週間,合計
0,1,ナビつき！ つくってわかる はじめてゲームプログラミング,71241,71241
1,2,ファイナルファンタジーVII リメイク インターグレード,20889,20889
2,3,ラチェット＆クランク パラレル・トラブル,14663,14663
3,4,Miitopia,14579,147402
4,5,リングフィット アドベンチャー,13507,2627908
5,6,NINJA GAIDEN： マスターコレクション,12210,12210
6,7,モンスターハンターライズ,11951,2257335
7,8,GUILTY GEAR -STRIVE-（ギルティギア ストライヴ）(PS4),11722,11722
8,9,Minecraft,11661,1995228
9,10,桃太郎電鉄 ～昭和 平成 令和も定番！～,9802,2223507
10,11,マリオカート8 デラックス,8596,3871249
11,12,スーパーマリオ 3Dワールド ＋ フューリーワールド,8561,776315
12,13,大乱闘スマッシュブラザーズ SPECIAL,6577,4305842
13,14,NINJA GAIDEN： マスターコレクション,6574,6574
14,15,あつまれ どうぶつの森,5549,6795602
15,16,スーパー マリオパーティ,5262,1909313
16,17,New ポケモンスナップ,4796,239890
17,18,世界のアソビ大全51,4710,725003
18,19,スプラトゥーン2,4027,3880613
19,20,ジャックジャンヌ,3931,25518
20,21,バイオハザード　ヴィレッジ(PS4),3767,183253
21,22,GUILTY GEAR -STRIVE-（ギルティギア ストライヴ）(PS5),3547,3547
22,23,ポケットモンスター ソード・シールド,3534,4063641
23,24,ルーンファクトリー5,3429,125632
24,25,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,2051,104863
25,26,ファミコン探偵倶楽部 消えた後継者・うしろに立つ少女 COLLECTOR’S EDITION,2015,19504
26,27,フィットボクシング2 -リズム＆エクササイズ-,1982,108902
27,28,ゼルダの伝説 ブレス オブ ザ ワイルド,1951,1824086
28,29,バイオミュータント,1827,30292
29,30,JUDGE EYES：死神の遺言（新価格版）,1771,22526
