,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,108087,5445215
1,2,リングフィット アドベンチャー,66828,1309424
2,3,Ghost of Tsushima（ゴースト・オブ・ツシマ）,32130,330364
3,4,世界のアソビ大全51,19609,296955
4,5,ペーパーマリオ オリガミキング,19089,201597
5,6,機動戦士ガンダム EXTREME VS. マキシブーストON,18178,141325
6,7,マリオカート8 デラックス,16863,3080828
7,8,eBASEBALLパワフルプロ野球2020,15451,174481
8,9,ブイブイブイテューヌ,12331,12331
9,10,eBASEBALLパワフルプロ野球2020,9908,156156
10,11,ポケットモンスター ソード・シールド,9847,3690442
11,12,大乱闘スマッシュブラザーズ SPECIAL,9809,3783935
12,13,スーパー マリオパーティ,8863,1514840
13,14,スプラトゥーン2,8358,3519058
14,15,Minecraft,7459,1465795
15,16,New スーパーマリオブラザーズ U デラックス,4558,877102
16,17,釣りスピリッツ Nintendo Switchバージョン,4552,469960
17,18,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,4476,274220
18,19,ゼルダの伝説 ブレス オブ ザ ワイルド,4233,1624786
19,20,スーパーマリオメーカー2,3460,948309
20,21,ニンジャラ ゲームカードパッケージ,3298,18178
21,22,太鼓の達人 Nintendo Switchば～じょん！,3053,498293
22,23,FAIRY TAIL(NSw),2895,18342
23,24,ルイージマンション3,2599,672407
24,25,ヒューマン フォール フラット,2232,17324
25,26,FAIRY TAIL(PS4),2108,15344
26,27,マリオ＆ソニック AT 東京2020オリンピックTM,2092,329935
27,28,ドラゴンクエストXI　過ぎ去りし時を求めて S,1943,542195
28,29,スーパーマリオ オデッセイ,1721,2116150
29,30,【超激レア】ふたりで！にゃんこ大戦争「ソフト＆ポーチセット」,1651,16048
