,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,288199 ,2744658
1,ルイージマンション3 ,78903 ,446649
2,リングフィット アドベンチャー ,56861 ,443118
3,マリオ＆ソニック AT 東京2020オリンピックTM ,50405 ,154262
4,Minecraft ,41907 ,1105034
5,釣りスピリッツ Nintendo Switchバージョン ,38527 ,303372
6,マリオカート8 デラックス ,37835 ,2618126
7,スーパーマリオメーカー2 ,34368 ,774102
8,大乱闘スマッシュブラザーズ SPECIAL ,34085 ,3417667
9,スーパー マリオパーティ ,32041 ,1229061
