,タイトル,週間,合計
0,ゼルダの伝説 夢をみる島 ,141375 ,141375
1,モンスターハンターワールド：アイスボーン マスターエディション ,39594 ,319915
2,eFootball ウイニングイレブン 2020 スタンダード エディション ,19249 ,77513
3,スーパーマリオメーカー ,14905 ,629714
4,大乱闘スマッシュブラザーズ SPECIAL ,12266 ,3266380
5,二ノ国 白き聖灰の女王 for Nintendo Switch ,11237 ,11237
6,Minecraft ,10813 ,934335
7,マリオカート8 デラックス ,10786 ,2459809
8,釣りスピリッツ Nintendo Switchバージョン ,9803 ,171841
9,ボーダーランズ3 ,8811 ,44847
