,タイトル,週間,合計
0,ポケモン不思議のダンジョン 救助隊DX ,138548 ,138548
1,ポケットモンスター ソード・シールド ,20679 ,3491353
2,Minecraft ,12933 ,1298028
3,マリオカート8 デラックス ,12751 ,2805986
4,大乱闘スマッシュブラザーズ SPECIAL ,11319 ,3592374
5,リングフィット アドベンチャー ,10067 ,715030
6,ペルソナ5 スクランブル　ザ ファントム ストライカーズ ,8109 ,143608
7,スーパー マリオパーティ ,7774 ,1362328
8,スプラトゥーン2 ,7293 ,3335123
9,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング ,6394 ,171725
